customer_city,avg_products
"padre carvalho",7.00
"celso ramos",6.50
"candido godoi",6.00
datas,6.00
"matias olimpio",5.00
cidelandia,4.00
"teixeira soares",4.00
curralinho,4.00
picarra,4.00
"morro de sao paulo",4.00
inconfidentes,3.50
ipua,3.25
"nova esperanca do sul",3.00
pacuja,3.00
"alto paraiso de goias",3.00
"chapadao do lageado",3.00
brasileia,3.00
ubata,3.00
"jose boiteux",3.00
pedregulho,3.00
ouvidor,3.00
capela,3.00
buriti,3.00
"colonia castrolanda",2.67
ubajara,2.67
"sao miguel dos campos",2.50
maracana,2.50
"colonia jordaozinho",2.50
"formosa do rio preto",2.33
"cicero dantas",2.30
capitolio,2.20
pauliceia,2.00
"belo oriente",2.00
anage,2.00
"doutor ulysses",2.00
belmonte,2.00
ipueiras,2.00
"engenheiro balduino",2.00
"senador cortes",2.00
"ponto novo",2.00
"nova olinda",2.00
"sao jorge do ivai",2.00
"conceicao da aparecida",2.00
itororo,2.00
"sao miguel do anta",2.00
"candido mendes",2.00
lencois,2.00
"redencao do gurgueia",2.00
"morro agudo",2.00
"mato verde",2.00
populina,2.00
"poco redondo",2.00
"vitoria das missoes",2.00
"sao felix do araguaia",2.00
"carnaiba do sertao",2.00
marilac,2.00
"tres irmaos",2.00
"nova ipixuna",2.00
candoi,2.00
passira,2.00
"bandeira do sul",2.00
"campo florido",2.00
"cambara do sul",2.00
alcantara,2.00
"sao sebastiao do rio verde",2.00
"santo antonio do caiua",2.00
"antonina do norte",2.00
altaneira,2.00
"coronel murta",2.00
jandaia,2.00
alexandrita,2.00
macaubal,2.00
uirauna,2.00
flores,2.00
"campo magro",2.00
"nova hartz",2.00
"cerro negro",2.00
lucianopolis,2.00
capitao,2.00
"abdon batista",2.00
"sitio novo do tocantins",2.00
arneiroz,2.00
"vargem grande do rio pardo",2.00
ibiracu,2.00
segredo,2.00
espinosa,2.00
almas,2.00
guairaca,2.00
"silveira martins",2.00
bonfinopolis,2.00
jaboticatubas,2.00
curvelandia,2.00
"morro grande",2.00
planaltino,2.00
"sao geraldo da piedade",2.00
"nova alvorada do sul",2.00
"aguas vermelhas",2.00
ouro,2.00
"passo de camaragibe",2.00
itajuipe,2.00
pains,2.00
itarana,2.00
macieira,2.00
tiradentes,2.00
"monte belo do sul",2.00
"pocoes de paineiras",2.00
"princesa isabel",2.00
"rio doce",2.00
"corrego danta",2.00
"dionisio cerqueira",2.00
"senhora de oliveira",2.00
itacoatiara,2.00
"passagem franca",2.00
solanea,2.00
"sao felix do coribe",2.00
areias,2.00
"frei lagonegro",2.00
"santo antonio",2.00
"gloria de dourados",2.00
"alvorada d'oeste",2.00
"pau brasil",2.00
"capitao eneas",2.00
mucurici,2.00
"novo itacolomi",2.00
"castelo do piaui",2.00
"paula freitas",2.00
pardinho,2.00
"agua doce",2.00
"campo alegre do fidalgo",2.00
aguai,1.90
itaqui,1.89
"ronda alta",1.83
taiuva,1.80
"alto boa vista",1.80
itajobi,1.80
"carmo do rio claro",1.78
irece,1.77
conservatoria,1.75
ipiau,1.75
saudades,1.75
"salto do lontra",1.75
"aparecida do taboado",1.71
taguatinga,1.71
malacacheta,1.71
mamanguape,1.67
upanema,1.67
silveiras,1.67
itaju,1.67
"dom pedro",1.67
"capao do cipo",1.67
delfinopolis,1.67
massaranduba,1.67
andrelandia,1.67
pedralva,1.67
jumirim,1.67
clevelandia,1.67
quixabeira,1.67
itarantim,1.67
japira,1.67
pedrinopolis,1.67
sertao,1.67
bofete,1.67
janauba,1.65
"sao joao nepomuceno",1.64
"uniao da vitoria",1.62
ariquemes,1.62
eusebio,1.62
sacramento,1.62
miracatu,1.60
cassilandia,1.60
"cidade gaucha",1.60
japura,1.60
japuiba,1.60
"monte belo",1.60
"sao raimundo nonato",1.57
"cerro largo",1.57
laguna,1.57
"campos novos",1.57
"santa cecilia",1.57
macaubas,1.56
buritizeiro,1.56
"herval d'oeste",1.56
guapore,1.56
raposos,1.55
"paty do alferes",1.54
uruoca,1.50
piata,1.50
"senador guiomard",1.50
"rodeio bonito",1.50
"espirito santo do turvo",1.50
"monte alegre",1.50
milha,1.50
"jandaia do sul",1.50
"santa clara do sul",1.50
paraguacu,1.50
itabaianinha,1.50
corrente,1.50
"mato leitao",1.50
"camocim de sao felix",1.50
vazante,1.50
"bento de abreu",1.50
careacu,1.50
mairi,1.50
paranaita,1.50
"david canabarro",1.50
"sao sebastiao do alto",1.50
dormentes,1.50
"alto horizonte",1.50
miranorte,1.50
trancoso,1.50
virginopolis,1.50
iguaracu,1.50
cocalinho,1.50
"colonia leopoldina",1.50
itambaraca,1.50
juatuba,1.50
"laranjal do jari",1.50
borrazopolis,1.50
tabuleiro,1.50
tupancireta,1.50
claudia,1.50
"alvares florence",1.50
"bom jesus das selvas",1.50
"gaucha do norte",1.50
"sao joao da mata",1.50
"campo novo",1.50
"campo novo do parecis",1.50
juvenilia,1.50
mercedes,1.50
"vila nelita",1.50
"alto alegre do iguacu",1.50
arembepe,1.50
amapora,1.50
sapeacu,1.50
macatuba,1.50
urandi,1.50
echapora,1.50
"campina da lagoa",1.50
"rio do antonio",1.50
cambira,1.50
"rosario do sul",1.50
trairi,1.50
"ribeirao vermelho",1.50
"limeira do oeste",1.50
"santa cruz de goias",1.50
"cachoeira da prata",1.50
"santa helena de minas",1.50
urania,1.50
cafeara,1.50
itueta,1.50
"cariri do tocantins",1.50
"silva jardim",1.50
"sao paulo das missoes",1.50
boninal,1.50
jambeiro,1.50
"sao goncalo do rio abaixo",1.50
arenapolis,1.50
correntina,1.50
rondon,1.50
"senador amaral",1.50
"santana dos montes",1.50
"mata grande",1.50
"rio do campo",1.50
"santana do serido",1.50
"santa monica",1.50
guarai,1.50
"conceicao da feira",1.50
"alianca do tocantins",1.50
"julio mesquita",1.50
itapetim,1.50
"delmiro gouveia",1.50
araputanga,1.50
satubinha,1.50
mondai,1.50
"catu de abrantes",1.50
"diogo de vasconcelos",1.50
pejucara,1.50
tamarana,1.50
inimutaba,1.50
"santa mercedes",1.50
balsamo,1.50
"benedito novo",1.50
portalegre,1.50
paranatinga,1.50
luisburgo,1.50
"wenceslau braz",1.50
caibate,1.50
"venda nova do imigrante",1.47
"barra de sao joao",1.46
